ID_Number,Forest_Type,Plot,Layer,pH,Org_Matter,Bulk_Density,Mic_BiomassC,Mic_BiomassN
B19 R2 OM,Old growth,B19 R2,OM,3.87,8.1223,1.328,0.545809718,0.100927096
B19 R3 OM,Old growth,B19 R3,OM,3.82,0.4160,1.612,0.087771986,0.048885663
B21 R1 OM,Old growth,B21 R1,OM,3.92,7.3358,1.616,2.58683476,0.034522337
B21 R2 OM,Old growth,B21 R2,OM,3.90,6.9901,1.474,0.638386175,0.064585892
B21 R3 OM,Old growth,B21 R3,OM,3.76,7.9373,1.341,0.48011925,0.126612544
B25 R1 OM,Old growth,B25 R1,OM,4.26,0.2732,1.551,0.205935202,0.065237156
B25 R2 OM,Old growth,B25 R2,OM,4.34,0.3741,1.178,1.266434032,0.091740871
B25 R3 OM,Old growth,B25 R3,OM,4.22,0.2697,1.634,0.161683471,0.063572139
B01 R1 M,Old growth,B01 R1,M,3.94,0.3931,1.174,1.193630482,0.022104268
B01 R2 M,Old growth,B01 R2,M,4.18,0.4911,1.269,0.45763632,0.003916203
B01 R3 M,Old growth,B01 R3,M,4.03,0.4787,1.428,0.090577816,0.003319606
B05 R1 M,Old growth,B05 R1,M,4.24,1.7155,1.503,0.272342069,0.033635873
B05 R2 M,Old growth,B05 R2,M,5.04,0.2524,1.626,1.405683027,0.027148385
B05 R3 M,Old growth,B05 R3,M,4.30,0.2117,1.374,1.478807515,0.032410714
B07 R1 M,Old growth,B07 R1,M,4.83,0.1796,1.549,0.259585953,0.057389182
B07 R2 M,Old growth,B07 R2,M,4.82,0.1524,1.378,1.390788749,0.002282976
B07 R3 M,Old growth,B07 R3,M,4.23,0.2304,1.326,0.692295965,0.243134343
B09 R1 M,Old growth,B09 R1,M,4.13,0.1913,1.252,0.63975175,0.089846692
B09 R2 M,Old growth,B09 R2,M,4.21,0.2441,1.411,0.184482617,0.070070549
B09 R3 M,Old growth,B09 R3,M,4.15,0.2579,1.291,0.256539562,0.034635776
B11 R1 M,Old growth,B11 R1,M,3.86,0.2798,1.222,1.51073134,0.082693863
B11 R2 M,Old growth,B11 R2,M,3.78,0.3384,1.332,1.984683326,0.009734454
B11 R3 M,Old growth,B11 R3,M,3.75,0.1598,1.225,0.407346668,0.075211719
B13 R1 M,Old growth,B13 R1,M,4.32,0.3626,1.437,0.521791696,0.049410036
