,title,year,released,runtime,rating,votes,language,genres,certification
81,Harry Potter and the Prisoner of Azkaban,2004,31-05-04,141,8.09526,8734,en,adventure,PG
82,The Lego Movie,2014,07-02-14,100,8.00777,8749,en,action,PG
83,Jurassic World,2015,12-06-15,124,7.32812,9140,en,action,PG-13
84,Oblivion,2013,18-04-13,126,7.322,9118,en,action,PG-13
85,Harry Potter and the Chamber of Secrets,2002,03-11-02,161,7.86533,8673,en,adventure,PG
86,Back to the Future Part II,1989,20-11-89,108,8.46597,8273,en,action,PG
87,The Green Mile,1999,10-12-99,189,8.69203,8163,en,crime,R
88,Ted,2012,29-06-12,106,7.03531,9063,en,comedy,R
89,Memento,2000,11-10-00,113,8.62397,8167,en,mystery,R
90,Zombieland,2009,03-12-09,88,8.16277,8331,en,comedy,R
91,The Silence of the Lambs,1991,14-02-91,118,8.65652,8015,en,crime,R
92,Elysium,2013,09-08-13,109,7.06586,8852,en,action,R
93,Harry Potter and the Deathly Hallows: Part 1,2010,19-11-10,146,8.09613,8260,en,adventure,PG-13
94,The Bourne Identity,2002,06-06-02,119,8.33148,8115,en,action,PG-13
95,Brave,2012,21-06-12,93,7.62532,8474,en,action,PG
96,Shrek,2001,16-05-01,90,8.03925,8203,en,adventure,PG
97,Kick-Ass,2010,16-04-10,117,7.94852,8237,en,action,R
98,Harry Potter and the Goblet of Fire,2005,05-11-05,157,7.94604,8229,en,adventure,PG-13
99,Leon: The Professional,1994,14-09-94,110,8.79617,7732,fr,crime,R
100,Raiders of the Lost Ark,1981,12-06-81,115,8.60714,7812,en,action,PG
