Series Name	Series Code	Country Name	Country Code	1990 [YR1990]	2000 [YR2000]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]
GDP per capita (current US$)	NY.GDP.PCAP.CD	Papua New Guinea	PNG	774.3639919	655.2502302	886.4202669	992.6737493	1223.202978	1210.871723	1418.923591	1838.699199	2151.210277	2108.831643	2268.172539	NA
GDP per capita (current US$)	NY.GDP.PCAP.CD	Philippines	PHL	715.3107015	1039.701796	1395.212633	1678.851988	1929.132897	1836.87412	2145.240007	2371.853537	2604.655997	2786.950468	2872.512165	2899.375278
GDP per capita (current US$)	NY.GDP.PCAP.CD	Samoa	WSM	772.211776	1540.65373	2793.54312	3130.352598	3375.82164	3173.54224	3530.573994	4065.95592	4257.305729	4179.597681	4172.2171	3938.548846
GDP per capita (current US$)	NY.GDP.PCAP.CD	Singapore	SGP	11864.53369	23792.60707	33579.85948	39223.58187	39721.04818	38577.55822	46569.67951	53093.67015	54451.21033	55617.6125	56007.28821	52888.74467
GDP per capita (current US$)	NY.GDP.PCAP.CD	Solomon Islands	SLB	970.0689337	1055.210356	950.0576951	1048.771486	1208.344196	1161.22881	1276.348513	1648.854127	1866.707246	1890.000903	2024.202861	1982.26969
GDP per capita (current US$)	NY.GDP.PCAP.CD	Thailand	THA	1508.287909	2016.041015	3351.117633	3962.750499	4384.782675	4231.140368	5111.909202	5539.494368	5915.221147	6225.052283	5969.940116	5816.44069
GDP per capita (current US$)	NY.GDP.PCAP.CD	Timor-Leste	TMP	NA	434.37974	464.8351692	551.7205984	673.3745379	780.2611109	875.8365693	1015.715928	1127.108215	1117.731251	1131.230851	1134.426428
GDP per capita (current US$)	NY.GDP.PCAP.CD	Tonga	TON	1193.49905	1926.732502	2837.075472	2932.962758	3307.282393	3106.902376	3557.737184	4226.692747	4364.309244	4117.310983	4114.052115	NA
GDP per capita (current US$)	NY.GDP.PCAP.CD	Tuvalu	TUV	980.0917635	1458.94942	2353.356088	2768.370957	3094.628092	2763.160305	3238.375763	3993.500254	4044.19378	3880.190879	3826.903311	NA
GDP per capita (current US$)	NY.GDP.PCAP.CD	Vanuatu	VUT	1080.230278	1469.888862	2047.088285	2393.334621	2698.02124	2643.475785	2965.75223	3275.023982	3158.420974	3167.055303	3147.96486	NA
GDP per capita (current US$)	NY.GDP.PCAP.CD	Vietnam	VNM	98.031869	433.3337077	796.6715738	919.2092656	1164.612525	1232.369671	1333.583526	1542.670436	1754.547974	1907.564382	2052.319084	2111.138024
															
															
															
Data from database: World Development Indicators															
Last Updated: 08/10/2016															
